Cleaned_Text,Sentiment
Great quality and performance,positive
Very unhappy,negative
Nothing special,negative
Very happy with the service,positive
Not recommended,negative
No strong opinion,positive
This is amazing,positive
Worst service ever,negative
Normal product,neutral
I love this product,positive
Very bad experience,negative
Average experience,neutral
Best decision ever,positive
I hate this,negative
Average experience,neutral
Very happy with the service,positive
Waste of money,negative
Acceptable quality,positive
Best decision ever,positive
I hate this,negative
No strong opinion,positive
Absolutely fantastic experience,positive
Very bad experience,negative
No strong opinion,positive
This is amazing,positive
Waste of money,negative
Acceptable quality,positive
Works perfectly,positive
Not recommended,negative
Normal product,neutral
Absolutely fantastic experience,positive
Terrible product,negative
No strong opinion,positive
Absolutely fantastic experience,positive
Very unhappy,negative
Average experience,neutral
Excellent support team,positive
Very bad experience,negative
Fine for now,positive
This is amazing,positive
Poor quality,negative
Normal product,neutral
I love this product,positive
Terrible product,negative
Average experience,neutral
Very happy with the service,positive
Very unhappy,negative
Normal product,neutral
Absolutely fantastic experience,positive
Completely useless,negative
As expected,neutral
Highly recommended,positive
Very bad experience,negative
Just okay,positive
I love this product,positive
Extremely disappointed,negative
Nothing special,negative
Super satisfied,positive
Completely useless,negative
As expected,neutral
Excellent support team,positive
Completely useless,negative
Nothing special,negative
Highly recommended,positive
Very bad experience,negative
Average experience,neutral
Very happy with the service,positive
Poor quality,negative
Nothing special,negative
Highly recommended,positive
Very unhappy,negative
Just okay,positive
Very happy with the service,positive
Extremely disappointed,negative
Fine for now,positive
Very happy with the service,positive
Completely useless,negative
Average experience,neutral
Very happy with the service,positive
Poor quality,negative
This is okay,positive
Super satisfied,positive
Completely useless,negative
As expected,neutral
Great quality and performance,positive
Not recommended,negative
Normal product,neutral
Very happy with the service,positive
Very unhappy,negative
Nothing special,negative
Absolutely fantastic experience,positive
Worst service ever,negative
No strong opinion,positive
This is amazing,positive
Poor quality,negative
Just okay,positive
Very happy with the service,positive
I hate this,negative
It works,neutral
I love this product,positive
Extremely disappointed,negative
As expected,neutral
Super satisfied,positive
I hate this,negative
Nothing special,negative
Super satisfied,positive
Not recommended,negative
It works,neutral
I love this product,positive
Completely useless,negative
Nothing special,negative
Works perfectly,positive
I hate this,negative
Average experience,neutral
Excellent support team,positive
Completely useless,negative
This is okay,positive
Highly recommended,positive
Very bad experience,negative
No strong opinion,positive
Absolutely fantastic experience,positive
Poor quality,negative
No strong opinion,positive
Highly recommended,positive
Poor quality,negative
Fine for now,positive
Very happy with the service,positive
I hate this,negative
Acceptable quality,positive
Very happy with the service,positive
Very bad experience,negative
Fine for now,positive
Best decision ever,positive
Poor quality,negative
As expected,neutral
Absolutely fantastic experience,positive
Not recommended,negative
It works,neutral
